doc_freq,posting_ptr,term_ptr,term_length
1,140952,2398,8
3,140960,2406,8
1,140984,2414,9
1,140992,2423,8
17,141000,2431,6
1,141136,2437,8
20,141144,2445,6
15,141304,2451,6
1,141424,2457,8
9,141432,2465,6
1,141504,2471,8
1,141512,2479,8
1,141520,2487,8
1,141528,2495,8
1,141536,2503,5
23,141544,2508,6
2,141728,2514,8
1,141744,2522,8
1,141752,2530,8
17,141760,2538,6
1,141896,2544,8
16,141904,2552,6
1,142032,2558,8
5,142040,2566,7
10,142080,2573,5
1,142160,2578,8
13,142168,2586,5
9,142272,2591,6
8,142344,2597,5
5,142408,2602,5
227,142448,2607,5
10,144264,2612,5
569,144344,2617,4
17,148896,2621,6
1,149032,2627,8
24,149040,2635,6
8,149232,2641,6
1,149296,2647,6
3,149304,2653,7
8,149328,2660,5
9,149392,2665,6
3,149464,2671,5
3,149488,2676,5
9,149512,2681,4
1,149584,2685,4
1,149592,2689,4
1,149600,2693,4
42,149608,2697,4
1,149944,2701,6
1,149952,2707,3
1,149960,2710,8
1,149968,2718,3
1,149976,2721,4
1,149984,2725,6
2,149992,2731,4
1,150008,2735,4
2,150016,2739,5
1,150032,2744,8
1,150040,2752,12
1,150048,2764,4
1,150056,2768,14
1,150064,2782,10
1,150072,2792,9
1,150080,2801,12
1,150088,2813,4
20,150096,2817,4
21,150256,2821,14
1,150424,2835,7
85,150432,2842,2
1,151112,2844,3
1,151120,2847,3
4,151128,2850,3
1,151160,2853,4
1,151168,2857,3
1,151176,2860,12
1,151184,2872,5
1,151192,2877,7
1,151200,2884,6
1,151208,2890,3
32,151216,2893,4
1,151472,2897,14
32,151480,2911,2
1,151736,2913,5
1,151744,2918,4
1,151752,2922,9
1,151760,2931,3
1,151768,2934,4
1,151776,2938,3
18,151784,2941,2
1,151928,2943,3
2,151936,2946,3
44,151952,2949,2
1,152304,2951,3
11,152312,2954,2
159,152400,2956,3
166,153672,2959,5
11,155000,2964,2
30,155088,2966,2
3,155328,2968,4
1,155352,2972,9
1,155360,2981,9
12,155368,2990,2
12,155464,2992,2
1,155560,2994,3
1,155568,2997,4
7,155576,3001,2
26,155632,3003,2
1,155840,3005,3
2,155848,3008,5
2,155864,3013,2
2,155880,3015,4
19,155896,3019,2
1,156048,3021,5
1,156056,3026,5
16,156064,3031,3
1,156192,3034,8
2,156200,3042,5
32,156216,3047,2
2,156472,3049,3
4,156488,3052,6
1,156520,3058,3
3,156528,3061,3
4,156552,3064,2
7,156584,3066,4
