word,offset,length
妙风,9734,3
米歇尔,9737,6
左眼,9743,3
萨默塞特,9746,6
乡信,9752,7
无法,9759,146
某年,9905,3
一等品,9908,3
写书,9911,27
H2007,9938,3
surprise,9941,4
个人感觉,9945,3
Poem,9948,8
赤道,9956,4
而香,9960,6
魯迅,9966,11
德魯克,9977,3
商,9980,14
课必,9994,9
家藏,10003,117
交锋,10120,3
毛钱,10123,3
十四,10126,6
见,10132,17
于晓丹,10149,3
Have,10152,23
海贼王,10175,3
入门级,10178,21
之魅,10199,4
這片,10203,8
西奥,10211,3
虐心,10214,6
當年,10220,6
广岛,10226,6
汤草,10232,3
Auster,10235,9
列侬,10244,3
Hemingway,10247,6
Seasons,10253,3
闭锁,10256,4
契丹,10260,3
玛塔,10263,3
蜕变,10266,6
banbenbucuo,10272,3
弱智,10275,26
瀬,10301,3
奋,10304,3
家,10307,124
test,10431,3
I267,10434,16
印证,10450,3
干嘛,10453,3
Defoe,10456,3
钟,10459,6
Sandra,10465,3
很多很多,10468,3
AiYazawa,10471,3
只恨,10474,4
冷眼,10478,9
恶补,10487,18
Eco,10505,3
阵,10508,4
丛书,10512,115
惨绿少年,10627,3
金牛座,10630,6
清华,10636,4
女友,10640,3
Gone,10643,6
顧城,10649,3
看不见,10652,21
多人点,10673,4
容易,10677,21
水仙,10698,3
三分,10701,3
捕风,10704,6
蛮,10710,53
帕洛马尔,10763,3
1982,10766,13
固定资产,10779,5
性解放,10784,3
interaction,10787,3
天堑,10790,4
反感,10794,3
冲击波,10797,3
安伯托,10800,3
奥黛丽,10803,3
存货,10806,8
线稿,10814,3
特写,10817,16
ズ,10833,6
personal,10839,4
代表作,10843,13
FABULA,10856,24
白话文,10880,22
测评,10902,3
Ancient,10905,3
中書,10908,3
不值钱,10911,6
Д,10917,9
命题,10926,4
血债,10930,3
身高,10933,3
小野,10936,3
猪乐桃,10939,3
MovieTheory,10942,3
走,10945,60
很小,11005,31
广告设计,11036,18
周瑾,11054,3
理論,11057,15
吴承恩,11072,3
抗戰,11075,4
ToSell,11079,10
哈桑,11089,3
Charlotte,11092,3
眠,11095,3
认得,11098,4
看过,11102,626
阉割,11728,10
峰仓,11738,3
压抑,11741,39
阿朱,11780,3
待业,11783,6
灰白,11789,4
笨人,11793,3
仙客,11796,3
国史大纲,11799,3
埋葬,11802,3
凶恶,11805,15
09Winter,11820,6
剧透,11826,4
天国,11830,24
伴读,11854,36
lolita,11890,11
罗密欧,11901,3
wuyu,11904,3
歌声,11907,3
鄭渊潔,11910,5
梓乡,11915,12
宽恕,11927,9
总和,11936,3
洞察,11939,5
小杯,11944,4
birthday,11948,3
张艺谋,11951,4
少儿,11955,30
神经,11985,41
李敖,12026,8
一到,12034,3
尺度,12037,6
灌蓝,12043,3
山东画报出版社,12046,9
溫度,12055,60
Popular,12115,3
Plauen,12118,3
明若晓溪,12121,3
漓江,12124,9
自在,12133,3
家具,12136,3
BT,12139,6
自我实现,12145,6
受益,12151,40
堀田由美,12191,3
伊藤潤,12194,11
趣,12205,56
波伏娃,12261,3
近所物語,12264,3
孙仲旭,12267,6
pageturner,12273,3
潘金蓮,12276,3
哢,12279,10
红线,12289,3
銭,12292,5
此世,12297,3
听,12300,223
北都,12523,3
绯,12526,3
通识,12529,65
散文,12594,911
安塞,13505,3
碎嘴子,13508,3
戴行,13511,3
鲁迅,13514,20
分辨,13534,3
差多,13537,3
导读,13540,9
懵懂,13549,66
乖僻,13615,3
inner,13618,6
落仔,13624,3
身体健康,13627,3
拜金,13630,4
利己,13634,7
一日三省,13641,4
数码,13645,6
无与伦比,13651,8
原意,13659,3
天气,13662,31
希尔,13693,5
作家出版社,13698,42
已滿,13740,6
腔,13746,106
HonoredeBalzac,13852,6
左和右,13858,3
fiction,13861,232
何兆年,14093,3
买来,14096,8
两,14104,6
iPhone,14110,39
怀春,14149,3
SFS,14152,17
晶体,14169,4
注目,14173,12
已买,14185,98
譯文,14283,58
◇,14341,63
懂,14404,137
风中,14541,6
好些,14547,3
歪歪斜斜,14550,3
安好,14553,4
福音,14557,3
nmen,14560,4
太原,14564,4
情仇,14568,26
当代文学,14594,797
essai,15391,51
听课,15442,3
一致,15445,31
丝绸,15476,3
王老师,15479,3
北京大学,15482,14
刊师,15496,4
梅明格,15500,4
极有,15504,3
观,15507,24
私藏,15531,589
gtd,16120,3
江湖险恶,16123,14
暂,16137,15
悲欣,16152,3
灵性,16155,111
昴,16266,3
傅聪,16269,3
特酷,16272,3
才子佳人,16275,22
穷爸爸,16297,3
鲁,16300,14
韵律感,16314,3
鸟,16317,9
志向,16326,3
公寓,16329,3
沉溺于,16332,12
Niffernegger,16344,3
不忍,16347,3
观过,16350,36
Austen,16386,9
莫泊桑,16395,9
1813,16404,3
标记,16407,14
读史,16421,15
有着,16436,6
格林童话,16442,3
屏读,16445,19
煮,16464,37
城墙,16501,3
导航,16504,3
洋文,16507,5
野蛮,16512,6
p,16518,29
中国人民大学出版社,16547,9
免提,16556,6
侯孝賢,16562,3
文字学,16565,4
欢娱,16569,9
姬野,16578,6
张海鹏,16584,3
水墨,16587,3
古都,16590,6
柯南,16596,14
儒勒,16610,8
艾米丽,16618,3
Poet,16621,6
奧威爾,16627,9
伤逝,16636,6
做事,16642,58
陰陽師,16700,3
军校生,16703,3
日夜,16706,10
举动,16716,6
boook,16722,3
Benjamin,16725,14
happy,16739,12
春村,16751,21
云生,16772,3
万国,16775,3
格列佛,16778,3
Social,16781,59
倾轧,16840,4
软,16844,21
四叶草,16865,10
求错,16875,3
余秋询,16878,3
大为,16881,3
Oversea,16884,4
醉,16888,7
几篇,16895,6
sorrow,16901,3
平实,16904,24
救,16928,3
雨果,16931,18
第一种,16949,4
大众文化,16953,8
彭,16961,7
内罗丝,16968,3
八百万,16971,3
第二性,16974,3
太宰,16977,4
学术前沿,16981,3
腿,16984,4
满地,16988,3
岳麓,16991,3
在场,16994,6
四大名著,17000,12
再也,17012,6
克勒斯,17018,3
私奉,17021,48
峭壁,17069,24
欢迎,17093,20
十里,17113,6
陆小凤,17119,3
密码学,17122,6
電,17128,3
经普,17131,3
真空,17134,3
RaymondCarver,17137,7
解释,17144,11
赵江,17155,4
音乐史,17159,6
GoogleDocs,17165,11
许,17176,14
土著,17190,3
寫文,17193,6
小三,17199,4
一百分,17203,59
apple,17262,88
dunk,17350,3
王先生,17353,3
讲读,17356,464
包君婆,17820,6
砖,17826,19
封神榜,17845,3
醫學,17848,4
托爾斯泰,17852,3
树王,17855,3
旁观,17858,3
奎,17861,7
沉闷,17868,3
孟丽,17871,3
依然,17874,16
法兰克,17890,3
滄,17893,6
magazine,17899,4
盖博,17903,3
知识性,17906,5
關於視覺,17911,3
颇深,17914,3
此書,17917,4
社評,17921,4
最初,17925,26
无关,17951,176
▲,18127,93
香织,18220,21
阿香,18241,3
放,18244,4
错史,18248,3
仿讽,18251,3
BrainStorm,18254,7
低俗,18261,14
鲜灵,18275,12
拉德,18287,3
Femininity,18290,6
Lolita,18296,6
浅显,18302,10
xiaohaihou,18312,3
WimWenders,18315,6
arts,18321,12
和歌,18333,4
蠹鱼,18337,6
最爱书,18343,6
应承,18349,4
humorous,18353,6
三下,18359,3
身份,18362,18
境外,18380,9
借用,18389,3
小品,18392,170
故人,18562,11
叫喊,18573,8
Ｏ,18581,3
无韵,18584,6
修,18590,12
遗存,18602,3
福,18605,6
最愛,18611,13
JohannWolfgangvonGoethe,18624,3
老套,18627,6
很久以前,18633,90
´,18723,15
寻,18738,3
南北战争,18741,8
不丰不杀,18749,3
教化,18752,20
浮世,18772,55
溢,18827,5
跃,18832,4
1904,18836,3
集体主义,18839,3
错,18842,10
一许,18852,3
多瓦,18855,3
kid,18858,15
认字,18873,4
giddens,18877,3
全当,18880,19
漁,18899,3
简朴,18902,16
rquez,18918,6
巨,18924,63
纪念册,18987,3
的确,18990,6
小巧,18996,3
108,18999,3
无话可说,19002,9
hk,19011,33
卑贱,19044,3
喷饭,19047,4
症候群,19051,4
名探,19055,3
年度,19058,3
地利,19061,9
朴素,19070,3
绝版,19073,4
重叠,19077,18
保罗,19095,15
高利,19110,3
Gambol,19113,3
大利,19116,6
手脚,19122,32
宣传栏,19154,15
计算机相关,19169,4
一枝,19173,3
差评,19176,4
15,19180,92
清朝,19272,15
敦厚,19287,12
Russell,19299,3
201103,19302,16
靴礼,19318,3
省思,19321,7
CrossOver,19328,4
PSYCHOANALYSIS,19332,3
识别,19335,3
沉重,19338,40
夏目漱石,19378,6
岛田洋,19384,3
HumanPerformance,19387,3
斉藤千穂,19390,6
救赎,19396,43
勇气,19439,39
地下室,19478,6
20080324,19484,3
中期,19487,15
类别,19502,78
京腔,19580,12
暮年,19592,6
一册,19598,201
荷兰,19799,9
大劉,19808,3
撕,19811,6
超乎,19817,3
VanLoon,19820,3
看点,19823,13
后辈,19836,9
格纳,19845,4
sanmao,19849,4
黄狠,19853,3
夜间,19856,6
小人儿,19862,28
school,19890,11
情节性,19901,3
再会,19904,25
呻吟,19929,3
Martin,19932,3
施,19935,6
200809,19941,39
画册,19980,172
浅浅,20152,25
и,20177,3
世情,20180,12
HarukiMurakami,20192,3
遗落,20195,3
合适,20198,8
风语者,20206,18
PhillipZimbardo,20224,3
出没,20227,3
JUDAL,20230,3
原土,20233,151
