word,offset,length
karena,8894,3
惟美,8897,9
散文,8906,4
通识,8910,3
schindler,8913,3
FORRSET,8916,3
萨博,8919,3
麦莉,8922,3
mkw,8925,3
STEPHENKING,8928,3
悉德尼,8931,5
Runway,8936,3
乖僻,8939,35
inner,8974,45
袴,9019,3
比约克,9022,5
≥,9027,7
数码,9034,6
sit,9040,4
20bradpitt,9044,3
挥拳,9047,3
莫利纳,9050,14
298,9064,3
腔,9067,34
推闹,9101,4
我表,9105,3
XavierPalud,9108,3
fiction,9111,274
买来,9385,3
coolhigh,9388,12
菲恩兹,9400,5
注目,9405,4
盘子,9409,3
航空,9412,4
严禁,9416,3
福音,9419,21
风中,9440,6
约翰松,9446,19
POWER,9465,6
活个,9471,11
modernization,9482,3
索多玛,9485,3
势力,9488,33
互为,9521,3
more,9524,36
Wochowski,9560,7
昴,9567,3
JerryLucas,9570,3
特酷,9573,3
鸟,9576,115
公寓,9691,4
职业杀手,9695,6
貝托魯琪,9701,3
1004,9704,9
SidneyLumet,9713,3
Austen,9716,15
lixin,9731,29
标记,9760,50
张涵,9810,4
有着,9814,11
atlanta,9825,3
MoCh,9828,4
煮,9832,115
吕克,9947,83
铁幕,10030,3
装逼片,10033,12
恋足,10045,4
THINKING,10049,3
毛怪,10052,3
之悲,10055,3
宁元元,10058,3
shakespeare,10061,5
sntc,10066,3
小玉,10069,9
stifling,10078,3
dimanche,10081,3
性工作者,10084,24
ThomasSangster,10108,3
早苗,10111,4
乖戾,10115,9
LearningEnglish,10124,5
柯南,10129,30
水墨,10159,26
Wisher,10185,3
Poet,10188,3
做事,10191,45
伤逝,10236,7
典型人物,10243,4
挺三俗,10247,4
卢奇,10251,3
约翰斯顿,10254,3
Dayyan,10257,3
人参,10260,4
Soperbergh,10264,3
万国,10267,7
法拉美穗,10274,3
软,10277,55
Soeteman,10332,3
禮,10335,5
Geunomeun,10340,3
平实,10343,77
JimCarry,10420,11
任一,10431,3
彭,10434,66
吳煒倫,10500,6
腿,10506,10
玩艺,10516,4
CAP,10520,3
夜下,10523,4
真空,10527,45
NaturalBornKillers,10572,3
EMPEROR,10575,3
布偶,10578,12
中好,10590,4
WillSampson,10594,3
尤,10597,7
DavidKross,10604,4
130,10608,4
TONY,10612,38
BAFTA,10650,10
Atkinson,10660,12
Nguyen,10672,3
旁观,10675,9
NY,10684,21
沉闷,10705,53
RobbieBryan,10758,4
1080P,10762,167
依然,10929,62
法兰克,10991,3
九号,10994,3
亲亲,10997,25
zukerburg,11022,4
SophieThompson,11026,3
知可子,11029,3
LightComedy,11032,33
傳媒,11065,12
Ⓐ,11077,9
Shldon,11086,4
尤文图斯,11090,12
锅岛,11102,4
BenAfflect,11106,3
WimWenders,11109,13
英片,11122,7
之河,11129,3
空中飞人,11132,4
殖民者,11136,3
六不给力,11139,7
会想,11146,151
lindsayLohan,11297,10
话片,11307,3
曾誌,11310,4
Ｏ,11314,73
張家輝,11387,27
GodfatherII,11414,3
笃实,11417,3
老套,11420,77
很久以前,11497,338
惯性,11835,9
LaGravenese,11844,9
美英,11853,83
南北战争,11936,5
凯芮穆,11941,9
GossipGirl2,11950,4
女女,11954,7
夫特,11961,6
Damian,11967,5
0101,11972,4
爱华,11976,6
thrill,11982,11
认字,11993,4
芬导,11997,4
mcvory,12001,3
blackHumor,12004,4
阿尼妹,12008,51
LievSchreiber,12059,12
泰文,12071,4
露安,12075,8
hk,12083,311
莫瑞,12394,10
ParsonsLib,12404,3
JeanMarcBarr,12407,3
喷饭,12410,3
sequals,12413,6
Bolye,12419,4
张露,12423,3
一装,12426,3
年度,12429,443
重叠,12872,108
高利,12980,3
保罗,12983,91
一枝,13074,20
花月,13094,6
里斯,13100,28
霍瑞,13128,3
一百,13131,16
大失人望,13147,4
ChristineBaranski,13151,6
hamlet,13157,3
往上爬,13160,65
完治,13225,3
绕过,13228,4
救赎,13232,259
孝則,13491,3
ryhs,13494,3
EthanSuplee,13497,5
利比,13502,5
暮年,13507,40
magicworld,13547,13
删片,13560,34
人造美女,13594,3
evan,13597,3
互不,13600,3
雙眼,13603,34
吃素,13637,3
再会,13640,150
作影,13790,6
200809,13796,37
浅浅,13833,214
keanu,14047,14
左輪兒,14061,6
MILAN,14067,3
武內,14070,6
john,14076,38
出没,14114,107
投名,14221,3
羚羊,14224,3
追杀,14227,3
风语者,14230,3
DOG,14233,3
GerogeClooney,14236,17
Beatrice,14253,4
考斯基,14257,3
丁晟,14260,7
侏罗纪,14267,10
条狗,14277,5
ScottGlenn,14282,6
dialogue,14288,6
十八世纪,14294,3
光棍,14297,17
杨静怡,14314,3
teacher,14317,3
沾,14320,8
刘星,14328,3
雷曼,14331,7
最有,14338,15
ChrisWaitt,14353,3
古今,14356,6
bang,14362,15
摩托车,14377,14
没,14391,994
伙,15385,4
tesla,15389,3
Johannesburg,15392,4
文化宫,15396,4
超,15400,328
吉尔摩,15728,6
直人,15734,3
1960,15737,83
造梦者,15820,4
Mazer,15824,3
摸摸,15827,3
北军,15830,3
唐人街,15833,3
才子,15836,3
礼来,15839,4
JesonLee,15843,3
搞笑,15846,936
史都华,16782,3
3P,16785,11
MaggieSmith,16796,22
坐飞机,16818,3
密谋,16821,6
斯皮,16827,3
佩妮,16830,15
之路,16845,3
日中台,16848,3
亮色,16851,64
映像,16915,76
一茂,16991,3
蒙娜丽沙,16994,3
骨子里,16997,7
鲜见,17004,4
彦,17008,45
withL,17053,7
08,17060,498
皮埃爾,17558,3
无缘无故,17561,4
Timroth,17565,3
彭戈,17568,3
收看,17571,3
澤尻繪,17574,3
