doc_freq,posting_ptr,term_ptr,term_length
1,85200,6798,5
2,85208,6803,14
1,85224,6817,9
2,85232,6826,6
1,85248,6832,8
1,85256,6840,5
2,85264,6845,3
1,85280,6848,2
3,85288,6850,4
2,85312,6854,5
1,85328,6859,16
6,85336,6875,10
5,85384,6885,8
1,85424,6893,6
3,85432,6899,6
1,85456,6905,6
137,85464,6911,1
6,86560,6912,2
128,86608,6914,2
2,87632,6916,3
1,87648,6919,4
1,87656,6923,4
19,87664,6927,4
1,87816,6931,4
6,87824,6935,4
56,87872,6939,2
37,88320,6941,2
44,88616,6943,2
3,88968,6945,4
1,88992,6949,4
8,89000,6953,6
1,89064,6959,6
4,89072,6965,2
26,89104,6967,2
1,89312,6969,4
1,89320,6973,2
1,89328,6975,3
1,89336,6978,4
24,89344,6982,2
26,89536,6984,3
18,89744,6987,7
1,89888,6994,7
3,89896,7001,3
21,89920,7004,6
4,90088,7010,4
1,90120,7014,2
1,90128,7016,2
1,90136,7018,4
16,90144,7022,2
1,90272,7024,8
4,90280,7032,2
2,90312,7034,4
1,90328,7038,3
1,90336,7041,9
1,90344,7050,9
2,90352,7059,4
1,90368,7063,5
1,90376,7068,8
11,90384,7076,11
9,90472,7087,12
5,90544,7099,13
26,90584,7112,8
7,90792,7120,11
1,90848,7131,2
1,90856,7133,7
4,90864,7140,5
2,90896,7145,8
1,90912,7153,11
3,90920,7164,12
1,90944,7176,11
1,90952,7187,11
2,90960,7198,18
1,90976,7216,9
8,90984,7225,9
1,91048,7234,10
2,91056,7244,7
1,91072,7251,11
2,91080,7262,2
2,91096,7264,5
2,91112,7269,11
2,91128,7280,11
1,91144,7291,8
2,91152,7299,6
1,91168,7305,7
7,91176,7312,5
7,91232,7317,12
7,91288,7329,5
33,91344,7334,1
1,91608,7335,2
5,91616,7337,2
1,91656,7339,2
1,91664,7341,2
1,91672,7343,2
2,91680,7345,2
3,91696,7347,2
1,91720,7349,3
1,91728,7352,4
1,91736,7356,2
1,91744,7358,3
1,91752,7361,4
1,91760,7365,4
7,91768,7369,5
5,91824,7374,2
10,91864,7376,2
4,91944,7378,9
43,91976,7387,2
1,92320,7389,5
8,92328,7394,4
59,92392,7398,3
5,92864,7401,4
1,92904,7405,11
2,92912,7416,11
1,92928,7427,11
1,92936,7438,10
1,92944,7448,7
1,92952,7455,15
1,92960,7470,6
1,92968,7476,12
1,92976,7488,18
4,92984,7506,4
4,93016,7510,10
2,93048,7520,10
131,93064,7530,5
8,94112,7535,8
1,94176,7543,11
1,94184,7554,18
1,94192,7572,4
1,94200,7576,10
1,94208,7586,4
2,94216,7590,4
1,94232,7594,11
1,94240,7605,6
2,94248,7611,19
24,94264,7630,5
1,94456,7635,4
1,94464,7639,4
5,94472,7643,21
2,94512,7664,3
1,94528,7667,23
7,94536,7690,4
1,94592,7694,10
1,94600,7704,12
1,94608,7716,10
1,94616,7726,6
1,94624,7732,4
1,94632,7736,5
1,94640,7741,6
1,94648,7747,16
2,94656,7763,7
2,94672,7770,14
1,94688,7784,10
2,94696,7794,2
1,94712,7796,2
4,94720,7798,2
2,94752,7800,5
1,94768,7805,17
3,94776,7822,10
13,94800,7832,4
1,94904,7836,6
2,94912,7842,8
3,94928,7850,4
92,94952,7854,1
4,95688,7855,2
2,95720,7857,4
1,95736,7861,4
1,95744,7865,4
1,95752,7869,3
5,95760,7872,2
2,95800,7874,2
4,95816,7876,3
1,95848,7879,5
2,95856,7884,2
1,95872,7886,3
2,95880,7889,6
1,95896,7895,5
1,95904,7900,4
2,95912,7904,4
1,95928,7908,2
2,95936,7910,3
3,95952,7913,5
100,95976,7918,5
1,96776,7923,5
1,96784,7928,8
1,96792,7936,6
3,96800,7942,7
1,96824,7949,11
1,96832,7960,6
3,96840,7966,14
1,96864,7980,10
8,96872,7990,4
14,96936,7994,6
1,97048,8000,4
1,97056,8004,4
1,97064,8008,4
1,97072,8012,8
1,97080,8020,9
1,97088,8029,5
7,97096,8034,4
1,97152,8038,12
2,97160,8050,7
127,97176,8057,5
17,98192,8062,7
2,98328,8069,7
1,98344,8076,7
2,98352,8083,4
1,98368,8087,10
1,98376,8097,12
1,98384,8109,14
59,98392,8123,1
12,98864,8124,2
2,98960,8126,2
12,98976,8128,2
10,99072,8130,6
1,99152,8136,3
2,99160,8139,3
1,99176,8142,7
1,99184,8149,5
1,99192,8154,6
4,99200,8160,4
14,99232,8164,3
5,99344,8167,4
2,99384,8171,5
1,99400,8176,9
1,99408,8185,4
32,99416,8189,10
4,99672,8199,2
1,99704,8201,3
2,99712,8204,4
1,99728,8208,6
4,99736,8214,4
18,99768,8218,4
1,99912,8222,2
1,99920,8224,3
1,99928,8227,3
1,99936,8230,4
8,99944,8234,2
1,100008,8236,4
1,100016,8240,6
1,100024,8246,4
3,100032,8250,8
1,100056,8258,4
1,100064,8262,5
1,100072,8267,9
4,100080,8276,3
2,100112,8279,8
1,100128,8287,13
21,100136,8300,2
1,100304,8302,4
5,100312,8306,8
1,100352,8314,7
1,100360,8321,23
1,100368,8344,6
1,100376,8350,4
1,100384,8354,6
2,100392,8360,3
1,100408,8363,15
1,100416,8378,7
1,100424,8385,6
2,100432,8391,7
1,100448,8398,5
1,100456,8403,6
1,100464,8409,6
31,100472,8415,3
1,100720,8418,14
15,100728,8432,7
2,100848,8439,15
64,100864,8454,4
2,101376,8458,9
2,101392,8467,8
1,101408,8475,8
2,101416,8483,9
9,101432,8492,5
2,101504,8497,10
1,101520,8507,6
4,101528,8513,3
