word,id_list,skip_table
疼,"[1006073, 1016523, 1029159, 1030052, 1058234, 1063190, 1065970, 1087145, 1312333, 1480980, 1529893, 1919201, 2068211, 2086633, 2256438, 3667783, 5275059]","[{'index': 4, 'value': 1058234}, {'index': 8, 'value': 1312333}, {'index': 12, 'value': 2068211}, {'index': 16, 'value': 5275059}, {'index': 16, 'value': 5275059}]"
culture,"[1000482, 1003284, 1010464, 1012611, 1015403, 1020241, 1022060, 1022238, 1025723, 1044203, 1046492, 1047719, 1050339, 1054889, 1056315, 1056868, 1059336, 1059769, 1062193, 1064271, 1070711, 1075495, 1075538, 1203426, 1223575, 1438461, 1777823, 1856285, 1883245, 1902628, 1907199, 1937939, 2052596, 2119843, 2133254, 2282081, 2294740, 2340955, 3009821, 3274113, 3344676, 3642673, 3644791, 4010196, 4886245]","[{'index': 6, 'value': 1022060}, {'index': 12, 'value': 1050339}, {'index': 18, 'value': 1062193}, {'index': 24, 'value': 1223575}, {'index': 30, 'value': 1907199}, {'index': 36, 'value': 2294740}, {'index': 42, 'value': 3644791}, {'index': 44, 'value': 4886245}]"
真言,[4171951],"[{'index': None, 'value': None}]"
未始,"[1049189, 1316648, 2278790, 2339950]","[{'index': 2, 'value': 2278790}, {'index': 3, 'value': 2339950}]"
揣测,[1059419],"[{'index': None, 'value': None}]"
China,"[1003479, 1004992, 1006881, 1007305, 1008145, 1008357, 1009160, 1012242, 1014578, 1016300, 1020961, 1021193, 1024889, 1025753, 1026425, 1028270, 1028404, 1029553, 1029791, 1030052, 1031818, 1034108, 1041482, 1041550, 1044663, 1046492, 1049189, 1049219, 1049477, 1054685, 1057244, 1058234, 1058679, 1059336, 1059406, 1060779, 1061118, 1063190, 1064862, 1065970, 1067907, 1074841, 1080309, 1082138, 1082154, 1082334, 1082522, 1085799, 1087758, 1088581, 1200840, 1212893, 1255625, 1394433, 1401425, 1427825, 1436348, 1449348, 1449352, 1460313, 1480980, 1529893, 1829836, 1873231, 1882933, 1902628, 1903968, 1915536, 1916726, 1926103, 1938591, 1948901, 1949338, 1970428, 2034893, 2042966, 2052448, 2057285, 2149655, 2209098, 2253642, 2256039, 2265312, 2297786, 2298149, 2339950, 2340300, 2380307, 2567919, 3009821, 3010130, 3010133, 3071717, 3274113, 3323987, 3344676, 3577218, 3616310, 3642673, 3662581, 3776157, 3813669, 3880832, 3901238, 4113090, 4238362, 4872671, 4886245, 5275059]","[{'index': 10, 'value': 1020961}, {'index': 20, 'value': 1031818}, {'index': 30, 'value': 1057244}, {'index': 40, 'value': 1067907}, {'index': 50, 'value': 1200840}, {'index': 60, 'value': 1480980}, {'index': 70, 'value': 1938591}, {'index': 80, 'value': 2253642}, {'index': 90, 'value': 3010130}, {'index': 100, 'value': 3776157}, {'index': 108, 'value': 5275059}]"
战国,"[2133254, 2317974]","[{'index': 1, 'value': 2317974}, {'index': 1, 'value': 2317974}]"
侠探,[1481362],"[{'index': None, 'value': None}]"
下载,"[1481371, 1975797]","[{'index': 1, 'value': 1975797}, {'index': 1, 'value': 1975797}]"
雪代巴,[1440589],"[{'index': None, 'value': None}]"
浪費,[1186392],"[{'index': None, 'value': None}]"
变异,[1465324],"[{'index': None, 'value': None}]"
Architecture,"[1005660, 1007928, 1011882, 1013001, 1021847, 1025176, 1031575, 1045818, 1056733, 1061367, 1066462, 1358413, 1358416, 1358873, 1367458, 1367964, 1941558, 2326403]","[{'index': 4, 'value': 1021847}, {'index': 8, 'value': 1056733}, {'index': 12, 'value': 1358416}, {'index': 16, 'value': 1941558}, {'index': 17, 'value': 2326403}]"
toast,[1080309],"[{'index': None, 'value': None}]"
差遣,"[1000856, 1007914, 1008732, 1009393, 1013502, 1020459, 1022238, 1023045, 1025753, 1026425, 1027247, 1035362, 1039840, 1040771, 1049189, 1052203, 1059406, 1059419, 1060723, 1062193, 1069848, 1080687, 1082406, 1141406, 1151876, 1192090, 1212080, 1227838, 1261153, 1270508, 1291760, 1316622, 1324985, 1346815, 1394364, 1400705, 1424741, 1453210, 1463013, 1485495, 1596305, 1758767, 1759860, 1767945, 1770782, 1777932, 1780565, 1856285, 1859140, 1867064, 1878708, 1915536, 1917972, 1925218, 1939182, 1968643, 1985223, 2034893, 2042966, 2056749, 2081876, 2133074, 2149655, 2159042, 2180619, 2209098, 2214344, 2243213, 2250587, 2256039, 2567698, 3010130, 3033668, 3103080, 3140801, 3187737, 3191328, 3311009, 3315879, 3323987, 3394338, 3608235, 3609132, 3616310, 3646172, 3683898, 3901238, 3908032, 4074636, 4264003, 4742918]","[{'index': 9, 'value': 1026425}, {'index': 18, 'value': 1060723}, {'index': 27, 'value': 1227838}, {'index': 36, 'value': 1424741}, {'index': 45, 'value': 1777932}, {'index': 54, 'value': 1939182}, {'index': 63, 'value': 2159042}, {'index': 72, 'value': 3033668}, {'index': 81, 'value': 3608235}, {'index': 90, 'value': 4742918}, {'index': 90, 'value': 4742918}]"
轻得,[1017143],"[{'index': None, 'value': None}]"
